Customer ID,Customer_Name,Segment,Total_Orders,Total_Sales,Total_Profit,First_Order_Date,Last_Order_Date,Recency_Days,Profit_Margin_%,Customer_Tier
AA-10315,Alex Avila,Consumer,19,13747.413,447.69049999999993,2011-03-31,2014-12-23,9,3.256543612969218,Platinum
AA-10375,Allen Armold,Consumer,23,5884.195,677.4774,2011-04-21,2014-12-25,7,11.513510344235703,Silver
AA-10480,Andrew Allen,Consumer,20,17695.58978,1516.4751800000001,2011-05-04,2014-08-28,126,8.569791676081678,Platinum
AA-10645,Anna Andreadi,Consumer,36,15343.8907,3051.439,2011-01-26,2014-12-03,29,19.886996457814966,Platinum
AA-315,Alex Avila,Consumer,7,2243.256,535.5659999999999,2011-06-08,2014-12-29,3,23.874493147460655,Silver
AA-375,Allen Armold,Consumer,8,654.492,77.442,2011-06-01,2014-04-22,254,11.832382977943197,Bronze
AA-480,Andrew Allen,Consumer,5,2063.493,554.613,2011-06-21,2014-02-20,315,26.877387032570503,Silver
AA-645,Anna Andreadi,Consumer,11,1968.324,-608.346,2011-04-22,2014-11-10,52,-30.90680192895072,Silver
AB-10015,Aaron Bergman,Consumer,32,20037.4975,3719.488,2011-02-19,2014-12-15,17,18.56263737525107,Platinum
AB-10060,Adam Bellavance,Home Office,32,18416.5504,4514.0589,2011-01-07,2014-11-19,43,24.510881799014868,Platinum
AB-10105,Adrian Barton,Consumer,33,22966.78,6912.6145,2011-10-13,2014-12-04,28,30.09831809247966,Platinum
AB-10150,Aimee Bixby,Consumer,24,13057.294600000001,2064.2143,2011-01-25,2014-11-26,36,15.808897349991627,Gold
AB-10165,Alan Barnes,Consumer,29,11649.265,2329.47,2011-02-18,2014-12-18,14,19.996712238926662,Gold
AB-10255,Alejandro Ballentine,Home Office,31,10786.7164,-43.23810000000013,2011-01-20,2014-12-26,6,-0.40084580326965985,Gold
AB-105,Adrian Barton,Consumer,7,2156.4,-495.33,2011-05-18,2014-11-18,44,-22.970228158041177,Silver
AB-10600,Ann Blume,Corporate,22,13318.6631,905.3607,2011-01-19,2014-11-11,51,6.797684521354099,Platinum
AB-15,Aaron Bergman,Consumer,5,4607.13,963.7199999999999,2011-05-18,2013-11-14,413,20.918011864219153,Silver
AB-150,Aimee Bixby,Consumer,4,3143.88,862.1400000000001,2012-03-22,2013-11-28,399,27.42280239703806,Silver
AB-165,Alan Barnes,Consumer,6,1399.776,106.59600000000002,2011-09-19,2014-12-15,17,7.615218434949593,Bronze
AB-255,Alejandro Ballentine,Home Office,8,4679.502,801.8520000000001,2011-11-16,2014-11-18,44,17.135413127294317,Silver
AB-60,Adam Bellavance,Home Office,9,1770.2279999999998,465.918,2011-11-11,2014-11-26,36,26.319660518306122,Silver
AB-600,Ann Blume,Corporate,5,5408.55,964.65,2011-01-24,2014-12-24,8,17.8356491111296,Silver
AC-10420,Alyssa Crouse,Corporate,24,10607.6947,206.48050000000003,2011-07-12,2014-12-25,7,1.946516239763198,Gold
AC-10450,Amy Cox,Consumer,19,16126.3904,4105.6042,2011-08-08,2014-12-26,6,25.458916088252458,Platinum
AC-10615,Ann Chong,Corporate,29,12729.72448,1160.67578,2011-06-28,2014-12-25,7,9.117838974626418,Gold
AC-10660,Anna Chung,Consumer,21,6255.61908,-998.9973200000001,2011-06-06,2014-12-29,3,-15.969599606758663,Gold
AC-420,Alyssa Crouse,Corporate,9,1689.675,237.555,2011-01-07,2014-12-18,14,14.059212570464735,Silver
